R_ID,Name,Elinfo
279,Eastern cottontail,metatarsalmetatarsal (2)
280,medium mammal,ribrib
281,mammal,unknownfragment
282,Human,
283,medium-large mammal,ribrib
284,medium-large mammal,ribrib
285,mammal,unknownfragment
286,mammal,unknownfragment
287,mammal,unknownfragment
288,Guajolote,femurfemur
289,Guajolote,femurfemur
290,Guajolote,metatarsaltarsometatarsus
291,Guajolote,ribrib
292,Guajolote,fibulafibula
293,Guajolote,radiusradius
294,White-tailed deer,
295,Mexican cottontail,ulnaulna
296,Desert cottontail,
297,Dog,mandiblemandible
298,Dog,cranialpremaxilla
299,Turtle,carapace/plastronplastron
300,mammal,unknownfragment
301,Human,
302,Human,
303,Dog,toothM1 (superior)
304,cf. Long tailed wood patridge,scapulascapula
305,Guajolote,phalanxproximal tarsal phalanx (1)
306,mammal,unknownfragment
307,White-tailed deer,Lumbar
308,Smokey pocket gopher,
309,small mammal,Thoracic
310,Human,
311,mammal,unknownfragment
312,Northern bobwhite,coracoidcoracoid
313,mammal,unknownfragment
314,Guajolote,radiusradius
315,large bird,Tibiatibiotarsus
316,bird,otherossified tendon
317,bird,unknownfragment
318,mammal,unknownfragment
319,mammal,unknownfragment
320,medium mammal,ribrib
321,Dog,phalanx*proximal tarsal phalanx 3 or 4
322,medium-large mammal,unknownunidentifiable flat bone
323,mammal,shaftneedle
324,mammal,unknownfragment
325,large bird,humerushumerus
326,Human,
327,Northern bobwhite,metatarsaltarsometatarsus
328,Hare,Iliumpelvis
329,mammal,unknownfragment
330,Hare,scapulascapula
331,Rabbit/hare,ribrib
332,Smokey pocket gopher,Humerus
333,large mammal,otherossified costal cartilage
334,White-tailed deer,Lumbar
335,White-tailed deer,Ischiumpelvis
336,Black-necked grebe,metatarsaltarsometatarsus
337,Black-necked grebe,Tibiatibiotarsus
338,medium-large bird,humerushumerus
339,Waterfowl,Tibiatibiotarsus
340,Quail,femurfemur
341,cf. Fulica americana,metatarsaltarsometatarsus
342,Guajolote,humerushumerus
343,large bird,otherossified tendon
344,large bird,phalanxproximal tarsal phalanx
345,bird,phalanxmedial or distal tarsal phalanx
346,bird,ribrib
347,bird,unknownfragment
348,cf. guajolote,Unknown?humerus
349,White-tailed deer,ribrib
350,Dog,ThoracicT8
351,Human,
352,mammal,unknownfragment
353,bird,sternumsternum
354,Mud turtle,carapace/plastronplastron scute
355,Brocket deer,
356,Brocket deer,toothM2 (sup) 
357,Brocket deer,Humerus
358,cf. Brocket Deer,scapulascapula
359,Dog,Humerus
360,Dog,toothcanine (sup)
361,White-tailed deer,cranialsquamosal
362,White-tailed deer,ribrib
363,Hare,cranialmaxilla
364,medium mammal,Vert NDepiphysis
365,medium mammal,ribrib
366,mammal,shaftworked bone
367,Pigeon,metatarsaltarsometatarsus
368,extra-large bird,Vert NDvertebra
369,bird,unknownfragment
370,Snapper,spineUpper dorsal spine
371,Snapper,spineLowerdorsal spine
372,Human,
373,mammal,unknownfragment
374,mammal,shaftworked bone
375,Cottontail,cranialoccipital
376,Red-bellied squirrel,Humerus
377,Dog,metacarpalMetacarpal (4)
378,Dog,metatarsalMetatarsal (5)
379,Dog,metatarsalMetatarsal (4)
380,White-tailed deer,
381,Waterfowl,coracoidcoracoid
382,small bird,metatarsaltarsometatarsus
383,bird,unknownfragment
384,Snapper,cranialPremaxilla
385,fish,cranialcranium
386,mammal,unknownfragment
387,Human,
388,White-tailed deer,cranialbasiopheniod
389,Artiodactyl,Thoracic
390,Artiodactyl,shaftlong bone
391,mammal,shaftneedle
392,Human,
393,mammal,unknownfragment
394,Rabbit/hare,ThoracicT12
395,Human,
396,Rabbit/hare,
397,White-tailed deer,scapulascapula
398,medium mammal,ribrib
399,White-tailed deer,Antler
400,Waterfowl,humerushumerus
401,White-tailed deer,Pelvis AcetabulumPelvis Acetabulumpelvis
402,mammal,unknownfragment
403,Artiodactyl,ribrib
404,mammal,shaftneedle
405,small mammal,Clavical
406,mammal,unknownfragment
407,Artiodactyl,shaftlong bone
408,mammal,shaftneedle
409,mammal,shaftneedle
410,Artiodactyl,ribrib
411,Artiodactyl,sacrumsacral epiphysis
412,mammal,shaftflake
413,mammal,unknownfragment
414,bird,unknownfragment
415,White-tailed deer,Lumbar
416,mammal,unknownfragment
417,White-tailed deer,toothtooth
418,Artiodactyl,ribrib
419,Artiodactyl,ribrib
420,Artiodactyl,Lumbar
421,cf. Mexican cottontail,
422,cf. Mexican cottontail,
423,Cottontail,cranialPremaxilla+dentition
424,Guajolote,mandiblemandible
425,mammal,unknownfragment
426,Human,
427,Smokey pocket gopher,ulnaulna
428,Dog,toothM2 (inferior)
429,mammal,shaftspatula
430,Charadriidae,humerushumerus
431,Charadriidae,metatarsaltarsometatarsus
432,Waterfowl,scapulascapula
433,Rallidae,Tibiatibiotarsus
434,small bird,phalanxtarsal phalanx
435,bird,fibulafibula
436,bird,unknownfragment
437,Guajolote,phalanxproximal tarsal phalanx
438,mammal,unknownfragment
439,Human,
440,Smokey pocket gopher,ulnaulna
441,Cottontail,mandiblemandible
442,mammal,unknownfragment
443,unknown,shaftshaft
444,Artiodactyl,ribRib
445,mammal,cranialcranium
446,large mammal,ribrib
447,mammal,unknownfragment
448,Smokey pocket gopher,mandiblemandible + dentition
449,Artiodactyl,toothcanine?
450,mammal,unknownfragment
451,Human,
452,Human,femurfemur
453,Dog,metatarsalMetatarsal (4)
454,Human,
455,Human,
456,cf. raptor,metacarpalcarpometacarpus
457,mammal,unknownepiphysis
458,mammal,shaftneedle
459,mammal,shaftneedle
460,cf. Waterfowl,Tibiatibiotarsus
461,Shell,otherdebitage
462,American Coot,cranialPremaxilla
463,American Coot,ulnaUlna
464,American Coot,radiusradius
465,American Coot,metacarpalcarpometacarpus
466,American Coot,metatarsaltarsometatarsus
467,American Coot, tibiotarsus
468,American Coot,phalanxtarsal digit II phalanx 1
469,American Coot,phalanxtarsal digit II phalanx 2
470,American Coot,phalanxtarsal digit III phalanx 1
471,American Coot,phalanxtarsal digit I phalanx 1
472,American Coot,phalanxtarsal digit III phalanx 3
473,American Coot,phalanxtarsal digit III phalanx 2
474,American Coot,phalanxtarsal digit IV phalanx 1
475,American Coot,phalanxtarsal digit IV phalanx 2
476,Waterfowl,coracoidcoracoid
477,Waterfowl,coracoidcoracoid
478,Waterfowl,coracoidcoracoid
479,Waterfowl,metacarpalcarpometacarpus
480,Waterfowl,humerushumerus
481,Waterfowl,humerushumerus
482,Waterfowl,ulnaulna
483,Waterfowl,radiusradius
484,Waterfowl,radiusradius
485,Waterfowl,scapulascapula
486,cf. Waterfowl,Tibiatibiotarsus
487,Gallinule,pelvispelvis
488,bird,Vert NDvertebra
489,bird,unknownfragment
490,cf. Mexican cottontail,
491,cf. Mexican cottontail,Pelvis AcetabulumPelvis AcetabulumPelvis
492,Mexican cottontail,scapulascapula
493,Red-bellied squirrel,
494,Red-bellied squirrel,
495,Red-bellied squirrel,
496,small mammal,CervicalC7
497,Smokey pocket gopher,
498,Smokey pocket gopher,toothincisor (inf)
499,Artiodactyl,Thoracic
500,Artiodactyl,ribRib
501,Coati,mandiblemandible + dentition
502,medium-large mammal,otherossified costal cartilage
503,Human,
504,mammal,shaftneedle
505,mammal,unknownfragment
506,Raven,Tibiatibiotarsus
507,Raven,metatarsaltarsometatarsus
508,Guajolote,coracoidcoracoid
509,medium-large bird,coracoidcoracoid
510,Brocket deer,phalanxproximal phalanx
511,Artiodactyl,ribrib
512,Cervid,Thoracic
513,Cervid,Thoracic
514,Human,
515,human?,shaftrasp
516,mammal,unknownfragment
517,Slider turtle,Carapace/plastronSuprapygal
518,Slider turtle,Carapace/plastronmarginal scute
519,Dog,Humerus
520,Dog,CervicalC3
521,Human,
522,Artiodactyl,ribrib
523,White-tailed deer,
524,cf. Odocoileus virginianus,Thoracic
525,Dog,ribrib
526,mammal,shaftneedle
527,Human,
528,mammal,unknownfragment
529,Guajolote,pelvispelvis
530,Guajolote,pelvispelvis
531,Guajolote,sacrumsynsacrum
532,Guajolote,Vert NDvertebra
533,Guajolote,femurfemur
534,Human,
535,bird,unknownfragment
536,fish,cranialcranium
537,cf. Needle fish,cranialcranium
538,White-tailed deer,
539,mammal,unknownfragment
540,Human,
541,bird,unknownfragment
542,Guajolote,coracoidcoracoid
543,bird,unknownfragment
544,Peccari,
545,Peccari,sacrumSacrum
546,mammal,unknownfragment
547,Artiodactyl,ribrib
548,large mammal,shaftlong bone
549,mammal,unknownfragment
550,Human,
551,medium mammal,ribrib
552,mammal,unknownfragment
553,Human,
554,Guajolote,Tibiatibiotarsus
555,bird,unknownfragment
556,White-tailed deer,Humerus
557,mammal,unknownfragment
558,Human,
559,Smokey pocket gopher,mandiblemandible
560,Smokey pocket gopher,
561,Dog,Pelvis AcetabulumPelvis Acetabulumpelvis 
562,Artiodactyl,ribrib
563,medium mammal,ribrib
564,White-tailed deer,mandiblemandible
565,Smokey pocket gopher,mandiblemandible
566,Smokey pocket gopher,toothmolar
567,Rabbit/hare,Thoracic
568,mammal,unknownfragment
569,Dog,toothM1 (superior)
570,Dog,toothincisor (inf) 2
571,Desert cottontail,scapulascapula
572,mammal,unknown
573,Cervid,
574,large mammal,cranialcranium
575,Cervid,Carpalcuneiform
576,Human,
577,mammal,unknownfragment
578,large mammal,shaftlong bone
579,mammal,shaftneedle
580,White-tailed deer,scapulascapula
581,human?,shaftlong bone
582,mammal,shaftneedle
583,mammal,shaftneedle
584,mammal,shaftneedle
585,marine fish,spinedorsal spine
586,mammal,shaftneedle
587,bird,unknownfragment
588,mammal,unknownfragment
589,mammal,unknownfragment
590,Cottontail,metatarsalmetatarsal
591,Smokey pocket gopher,
592,Smokey pocket gopher,mandiblemandible
593,mammal,ribrib
594,medium-large bird,metatarsaltarsometatarsus
595,mammal,unknownfragment
596,White-tailed deer,ulnaUlna
597,mammal,shaftneedle
598,mammal,shaftneedle
599,mammal,shaftneedle
600,Human,
601,mammal,unknownfragment
602,mammal,shaftworked bone
603,Smokey pocket gopher,
604,Smokey pocket gopher,mandiblemandible + dentition
605,Dog,phalanx*proximal tarsal phalanx 2
606,Human,
607,large mammal,cranialcranium
608,mammal,shaftneedle
609,Cottontail,
610,Waterfowl,scapulascapula
611,Waterfowl,metatarsalTarsometatarsus
612,Waterfowl,Tibiatibiotarsus
613,bird,phalanxproximal phalanx
614,Northern bobwhite,Tibiatibiotarsus
615,American coot,cranialpremaxilla
616,bird,Vert NDvertebra
617,Smokey pocket gopher,cranialJugal
618,Smokey pocket gopher,toothincisor (sup) 
619,Smokey pocket gopher,
620,Smokey pocket gopher,mandiblemandible
621,Smokey pocket gopher,
622,cf. Mexican cottontail,
623,Hare,Iliumpelvis
624,Dog,Axis
625,Dog,toothcanine (inf)
626,Human,
627,small mammal,Axis
628,cf. Cervid,phalanxmedial phalanx
629,Dog,ribrib
630,bird,unknownfragment
631,Rabbit/hare,mandiblemandible
632,Artiodactyl,ribRib
633,small mammal,cranialcranium
634,Artiodactyl,toothtooth
635,Cervid,Antler
636,Unknown,shaftbone
637,Slider turtle,carapace/plastroncarapace- costal scute
638,mammal,shaftneedle
639,mammal,unknownfragment
640,medium-large mammal,cranialcranium
641,White-tailed deer,
642,mammal,shaftneedle
643,Hare,
644,Waterfowl,humerushumerus
645,Waterfowl,Tibiatibiotarsus
646,Waterfowl,radiusradius
647,cf. Waterfowl,coracoidcoracoid
648,Charadriiformes,humerushumerus
649,large bird,ulnaulna
650,bird,radiusradius
651,bird,unknownfragment
652,Dog,toothcanine (sup)
653,Desert cottontail,scapulascapula
654,Hare,mandiblemandible
655,Volcano rabbit (Teporingo),
656,Smokey pocket gopher,scapulascapula
657,Smokey pocket gopher,scapulascapula
658,small mammal,cranialcranium
659,small mammal,shaftlong bone
660,small mammal,ribrib
661,mammal,shaftworked bone
662,Dog,ribrib
663,Dog,metacarpalMetacarpal (3)
664,White-tailed deer,mandiblemandible + dentition
665,mammal,unknownfragment
666,Human,
667,fish,spinedorsal spine
668,Dog,cranialoccipital
669,Dog,cranialparietal
670,Mexican cottontail,metatarsalmetatarsal (3)
671,Eastern cottontail,metatarsalmetatarsal (5)
672,Volcano rabbit (Teporingo),Humerus
673,small mammal,cranialbulla
674,Human,
675,small mammal,unknownfragment
676,Passerine,metacarpalcarpometacarpus
677,Passerine,sacrumsynsacrum
678,bird,shaftshaft
679,Anseriformes,furculafurcula
680,medium-large bird,coracoidcoracoid
681,White-tailed deer,CervicalC3
682,White-tailed deer,Lumbar
683,White-tailed deer,Carpallunate
684,cf. Brocket deer,LumbarL1
685,medium-large mammal,Thoracic
686,Artiodactyl,iliumPelvis
687,mammal,unknownfragment
688,Cottontail,mandiblemandible
689,small mammal,cranialcranium
690,Rabbit/hare,Thoracic
691,mammal,shaftworked bone
692,mammal,shaftneedle
693,Dog,toothCanine (sup)
694,Dog,toothincisor (sup) 2
695,Dog,toothM1 (inferior)
696,Waterfowl,metacarpalcarpometacarpus
697,bird,ulnaulna
698,bird,unknownfragment
699,bird,shaftworked bone
700,fish,Vert NDvertebra
701,mammal,unknownfragment
702,Dog,toothcanine (sup)
703,Dog,toothmolar (inf) 1
704,White-tailed deer,metatarsal or metacarpametatarsal or metacarpal
705,Brocket deer,Humerus
706,Eastern cottontail,
707,Rabbit/hare,cranialsquamosal
708,Rabbit/hare,cranialfrontal
709,Smokey pocket gopher,cranialpremaxilla
710,Rabbit/hare,Thoracic
711,small mammal,Axis
712,Dog,
713,Dog,toothcanine (inf)
714,White-tailed deer,
715,9 banded armadillo,otherscute
716,9 banded armadillo,otherscute
717,Artiodactyl,ribRib
718,Artiodactyl,Thoracic
719,Artiodactyl,cranialcranium
720,cf. Fulica americana,humerushumerus
721,bird,unknownfragment
722,Jack fish,PrecaudalVertebra
723,marine fish,Vert NDvertebra
724,fish,cranialcranium
725,mammal,shaftworked fragment
726,mammal,unknownfragment
727,Human,
728,Hare,
729,Dog,metatarsalMetatarsal (2)
730,Artiodactyl,phalanxproximal phalanx
731,small mammal,cranialcranium
732,mammal,unknownfragment
733,Pigeon,metacarpalcarpometacarpus
734,bird,shaftshaft 
735,Passerine,ulnaulna
736,Slider turtle,carapace/plastroncarapace- neural scute
737,Hare,
738,mammal,cranialcranium
739,Human,ribRib
