Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operaci—n,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relaci—n a otros lotes (estratigraf’a),Descripci—n del sedimento,Interpretaci—n cultural,Flotaci—n
109,KGH,23 VII 13,0.5,,0.56,17,J20,Third capa below surface,,,4,,,,Cuarto 1,"Debajo de 19, esquina interior NW del cuarto 1",Tierra limosa y arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
111,KGH,23 VII 13,0.5,,0.07,17,I20,Third capa below surface,,,4,,,,Cuarto 1,"Debajo de 40, cuarto 1 a lo largo del muro W interior",Tierra arcillosa con un poco de arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
112,KGH/AGMR,23 VII 13,0.5,,0.45,17,I21,Third capa below surface,,,4,,,,Cuarto 1,"Debajo de 41, dentro del cuarto 1",Tierra limosa y relleno con arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
113,AGMR,23 VII 13,0.5,,0.09,17,I20,Third capa below surface,,,4,,,,,"Debajo de 40, exterior del muro al W del cuarto 1",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n,
115,KGH/AGMR,23 VII 13,0.5,,0.04,17,J20,Fourth below,,,3,,,,,"Debajo de 108, esquina exterior NW del cuarto 1, al E del muro",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
116,KGH/AGMR,23 VII 13,0.5,,0.21,17,K20,Fourth below,,,3,,,,,"Debajo de 106, a lado de 115, al E del muro de piedra/adobe, N-S",Tierra arenosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
117,KGH,23 VII 13,0.5,,0.05,17,H20,Second capa,,,5,,,,,"Debajo de 90, interior del cuarto 3",Tierra limosa. Munsell 10YR 4/2,Relleno,X
118,KGH/AGMR,23 VII 13,0.5,,0.06,17,J20,Second earliest,,,2,,,,,"Debajo de 115, al W del cuarto1, lado exterior",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
119,KGH/AGMR,23 VII 13,0.5,,0.07,17,K20,Second earliest,,,2,,,,,"Debajo de 106, a lado de 118 de J20, lado W del muro N-S",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
120,KGH/AGMR,23 VII 13,0.5,,0.804,17,I19,Surface,,,6,,,,,Superficie,"Capa hœmica, tierra org‡nica y ra’ces. Munsell 10YR 4/2",Superficie,
122,DHS/AGMR,24 VII 13,0.5,,0.31,17,K21,Fourth below,,,3,,,,,Debajo de 102,Tierra limosa. Munsell 10YR 4/2,Relleno,
124,DHS,24 VII 13,0.5,,0.32,17,H21,Second capa,,,5,,,,,"Debajo de 89, alrededor de lajas",Tierra arenosa y limosa. Munsell 10YR 6/2,Relleno constructivo,
125,DHS,24 VII 13,0.5,,0.14,17,H21,Second capa,,,5,,,,,"Debajo de 89, dentro de lajas",Tierra arenosa y limosa. Munsell 10YR 6/2,Relleno constructivo,
126,AGMR,24 VII 13,0.5,,0.02,17,K21 y K22,Third capa below surface,,,4,,,,,Debajo de 9 y de 58 (nivel de piso 1) igual que 102/122 y 99,Fragmento de apisonado. Munsell 10YR 4/2,Deslave y fragmento de apisonado,
127,AGMR,24 VII 13,0.5,,0.26,17,K22,Fourth below,,,3,,,,,Debajo de 99,Tierra limosa. Munsell 10YR 5/2,Relleno,
128,MRD,24 VII 13,0.5,,0.38,17,I19,First capa,,,6,,,,,Debajo de 120,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave y derrumbe,
129,DHS,24 VII 13,0.5,,0.11,17,H20,Third capa below surface,,,4,,,,,Debajo de 117 en SE del cuadro,Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
130,DHS,25 VII 13,0.5,,0.15,17,J21,Fourth below,,,3,,,,,Debajo de 21 y 104 al S del muro N del cuarto 1,Tierra arcillosa y arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,X
131,AGMR,25 VII 13,0.5,,0.18,17,J21,Fourth below,,,3,,,,,Debajo de 21 al N del muro N del cuarto 1,Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
132,AGMR,25 VII 13,0.5,,0.15,17,J22,Fourth below,,,3,,,,,Debajo de 101,Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
133,DHS,25 VII 13,0.5,,0.22,17,I21,Fourth below,,,3,,,,,Debajo de 112,Tierra limosa y relleno con un poco de arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
134,DHS,25 VII 13,0.5,,0.1,17,J20,Fourth below,,,3,,,,,"Debajo de 109, esquina NW interior del cuarto 1",Tierra arcillosa y arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
135,DHS,25 VII 13,0.5,,0.1,17,I20,Fourth below,,,3,,,,,"Debajo de 111, interior del cuarto 1, al E del muro W",Tierra arcillosa y arena. Munsell 10YR5/2,Nœcleo de construcci—n con relleno arenoso,
136,MRD,25 VII 13,0.5,,0.556,17,I19,Second capa,1135,50,5,,,,,Debajo de 128,Tierra suelta arcillosa. Munsell 10YR 3/2,Sobre Piso 1,
137,AGMR,25 VII 13,0.5,,0.42,17,I22,Fourth below,,,3,,,,,Debajo de 100,Tierra compacta con piedras. Munsell 10YR 5/2,Relleno y deslave,
138,DHS,25 VII 13,0.5,,0.54,17,H21,Second capa,,,5,,Elemento 7,,,Debajo de 89,"Tierra arenosa y limosa, concentraci—n de material. Munsell 10YR 6/2",Relleno constructivo,
139,DHS,25 VII 13,0.5,,0.08,17,H20,Fourth below,,,3,,,,,Debajo de 129,Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
140,AGMR,25 VII 13,0.5,,0.05,17,H22,First capa,,,6,,,,,"Debajo de 81, esquina SW",Tierra limosa con algunas piedras. Munsell 10YR 4/2,Relleno,
141,AGMR,25 VII 13,0.5,,0.346,17,H22,Second capa,,,5,,,,NO BONES HERE,"Debajo de 88, lado NE",Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
142,AGMR,25 VII 13,0.5,,0.504,17,G22,Surface,,,6,,,,,Superficie,"Capa hœmica, tierra org‡nica y ra’ces. Munsell 10YR 4/2",Superficie,
143,MRD,26 VII 13,0.5,,0.348,17,I19,Third capa below surface,,,4,,,,,Debajo de 136,"Tierra compactada, relleno. Munsell 10YR 4/2",Base de Piso 1,
144,MRD,26 VII 13,0.5,,0.355,17,J19s,Surface,,,6,,,,,Superficie S de 1x2,"Capa hœmica, tierra org‡nica y ra’ces. Munsell 10YR 3/2",Superficie,
145,MRD,26 VII 13,0.5,,0.185,17,J19s,First capa,,,6,,,,,Debajo de 144,Tierra suelta arcillosa. Munsell 10YR 3/2,Derrumbe y deslave,
146,MRD,26 VII 13,0.5,,0.08,17,J19s,Second capa,1185,15,5,,Elemento 8,,,"Debajo de 145, lado S encima de entierro 1", ,Entierro humano,
147,MRD,26 VII 13,0.5,,0.232,17,J19s,Second capa,,,5,,,,,"Debajo de 145, lado N",Tierra suelta arcillosa. Munsell 10YR 3/2,"Sobre Piso 1, deslave",
148,AGMR,26 VII 13,0.5,,0.4778,17,G22,First capa,,,6,,,,,Debajo de 142,Tierra limosa con algunas piedras. Munsell 10YR 4/2,Derrumbe y deslave,
149,AGMR,27 VII 13,0.5,,0.196,17,G22,Second capa,,,5,,,,,Debajo de 148,Tierra limosa. Munsell 10YR 4/2,Relleno,
150,AGMR,27 VII 13,0.5,,0.237,17,G22,Third capa below surface,,,4,,,,,Debajo de 149,Tierra limosa. Munsell 10YR 4/2,Relleno,
152,MRD,29 VII 13,0.5,,0.174,17,J19s,Third capa below surface,,,4,,,,,Debajo de 147,Tierra compactada. Munsell 10YR 4/2,Base de Piso 1,
