Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operaci—n,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relaci—n a otros lotes (estratigraf’a),Descripci—n del sedimento,Interpretaci—n cultural,Flotaci—n
675,GMB,8 VII 14,no,40,0.8,18,J9,,,,,,21,,,Debajo de 413,"tierra arcillosa, Munsell 3/2",Pozo de saqueo,
341,LH,25 V 14,0.5,41,0.8,18,L22,,,,,,22,,,debajo de 420,"tierra suelta y limosa, Munsell 10 YR 4/3 brown",elemento 22,
526,DHS,18 VI 14,0.5,41,0.36,18,I22,,,,,,,,,Debajo de 419 al S del muro,"tierra limosa, Munsell 10YR 4/3",deslave,
533,DHS,18 VI 14,0.5,41,0.012,18,I22,,,,,,,,,Debajo de 411 al S del muro,"tierra arcillosa, Munsell 10YR 3/3",deslave,
658,GMB,7 VII 14,0.5,41,0.6,18,M10,,,,,,21,,,Debajo de 421,"tierra suelta arcillosa, Munsell 10YR 5/3",relleno no arquitectonico en pozo de saqueo,
316,DHS,20 V 14,0.5,42,0.72,18,N20,,,,,,21,,,Debajo de 433,tierra limosa arenosa,relleno en pozo de saqueo,
538,AH,19 VI 14,0.5,42,0.4,18,M26,,,,,,21,,,Debajo de 434,"tierra limosa con carbon, Munsell 5/2",relleno en pozo de saqueo,X
565,GMB,23 VI 14,0.5,42,0.52,18,I20,,,,,,,,,canal pasando por el muro - connectando 357 y 372,tierra arcillosa,relleno del canal pasando por muro encima del empedrado,
419,LH,2 VI 14,0.5,43,0.2504,18,J21,,,,,,,,,Superficie,"tierra orgánica con raíces, Munsell 10YR2/2",Zona de arado,Plough zone
537,AH,18 VI 14,0.5,43,0.28,18,N26,,,,,,,,,Superficie,"tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",zona de arado,Plough zone
412,DHS,2 VI 14,0.5,44,0.53,18,"M23-24, L23-24",,,,,,,,,Superficie,"tierra orgánica con raíces, Munsell 10YR2/2",zona de arado,Plough zone
532,GMB,18 VI 14,0.5,44,0.6,18,K23,,,,,,,,,Superficie,"tierra orgánica con raíces, Munsell 10YR2/2",zona de arado,Plough zone
540,GMB,19 VI 14,0.5,44,0.11,18,L23,,,,,,,,,Superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
546,GMB,19 VI 14,0.5,44,0.13,18,K24,,,,,,,,,debajo de 439,"tierra suelta un poco arcillosa, Munsell 10YR 2/2",deslave,
402,DHS,31 V 14,0.5,45,0.44,18,N24,,,,,,,,,debajo de 443,"tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",deslave,
403,DHS,31 V 14,0.5,45,0.34,18,N24,,,,,,,,,Debajo de 444,"tierra suelta un poco arcillosa, Munsell 10YR 2/2",deslave,
469,DHS,11 VI 14,0.5,45,0.38,18,M24,,,,,,,,,debajo de 445,"tierra suelta un poco arcillosa, Munsell 10YR 2/2",deslave,
549,GMB,19 VI 14,0.5,45,0.06,18,L24,,,,,,,,,debajo de 446,"tierra arcillosa, Munsell 10YR 2/2",deslave,
651,AH,4 VII 14,no,45,0.56,18,K9,,,,,,,,,debajo de 453 al E del muro,"tierra arcillosa, Munsell 10YR 2/2",derrumbe y deslave,
657,GMB,7 VII 14,No,45,1.08,18,M9,,,,,,,,,debajo de 454,"tierra arcillosa, Munsell 10YR 2/2",derrumbe y deslave,
650,AH,4 VII 14,No,47,0.56,18,L9,,,,,,,,,debajo de 408,"tierra arcillosa con un poco de limo, Munsell 10YR 3/2",deslave,
355,LH,27 V 14,0.5,48,0.0552,18,K22,,,,,,,,,debajo de 452,"tierra arcillosa, Munsell 10YR 2/2",deslave,
492,DHS,12 VI 14,0.5,48,0.36,18,K24,,,,,,,,,debajo de 410,tierra arcillosa compactada,derrumbe y deslave,
534,DHS,18 VI 14,0.5,48,0.071,18,I21,,,,,,,,,debajo de 399,"tierra arcillosa, Munsell 10YR 3/2",deslave,
613,DHS,28 VI 14,0.5,49,0.28,18,K20s,,,,,,,,,debajo de 448,"tierra arcillosa, Munsell 10YR 2/2",derrumbe y deslave,
356,LH,27 V 14,0.5,50,0.44,18,K21,,,,,,,,,debajo de 450,"tierra arcillosa con poco de ceniza y limo, Munsell 10YR 4/3",deslave,
536,DHS,18 VI 14,0.5,50,0.76,18,I22,,,,,,,,,debajo de 401 al E del muro,"tierra arcillosa, Munsell 10YR 2/2","relleno, posible ultimo nivel de ocupacion",
561,AH,23 VI 14,0.5,50,0.46,18,N26,,,,,,,,,debajo de 453 al W del muro,"tierra arcillosa, Munsell 10YR 3/2",derrumbe y deslave,
612,DHS,28 VI 14,0.5,50,0.456,18,J20,,,,,,23,,,debajo de 463,"tierra arcillosa con carbon, Munsell 10YR 3/2",relleno tardio,X - 2 samples
679,DHS,9 VII 14,0.5,50,0.112,18,I22,,,,,,,,,debajo de 390 al E del muro,"tierra arcillosa, Munsell 10YR 2/2",deslave,
326,LH,22 V 14,0.5,51,0.36,18,L21,,,,,,,,,debajo de 448,"tierra arcillosa, Munsell 10YR 3/2",derrumbe de muro posterior,
375,DHS,28 V 14,0.5,51,1,18,N23,,,,,,,,,debajo de 462,"tierra arcillosa con gravilla y adobes, Munsell 10YR 3/2",relleno y deslave,
493,DHS,12 VI 14,0.5,51,0.52,18,K25,,,,,,23,,,"debajo de 468, en Elemento 23","tierra arcillosa, Munsell 10YR 3/2",relleno,
571,DHS,24 VI 14,0.5,51,0.87,18,I23,,,,,,,,,debajo de 463,"tierra arcillosa, Munsell 3/2",nivel de ocupacion posclasico,
624,AH,30 VII 14,0.5,51,0.49,18,K11,,,,,,,,,debajo de 457,"tierra arcillosa con adobes, Munsell 10YR 3/2",deslave y derrume,
468,DHS,11 VI 14,0.5,52,0.48,18,N25,,,,,,,,,debajo de 424,"tierra arcillosa y adobes, Munsell 10YR 3/2",deslave y derrume,
470,DHS,11 VI 14,0.5,52,0.115,18,N25 y 24,,,,,,,,,debajo de 475,"tierra limosa compactada, Munsell 10YR 4/3",relleno,
475,DHS,12 VI 14,0.5,52,0.11,18,N25,,,,,,,,,debajo de 407,"tierra limosa compactada, Munsell 10YR 4/3",relleno,
567,AH,23 VI 14,0.5,52,0.4,18,M26,,,,,,,,,debajo de 407 al E del muro,"tierra limosa compactada, Munsell 10YR 3/2",relleno,
487,DHS,12 VI 14,0.5,53,0.92,18,M25,,,,,,,,,debajo de 423,"tierra limosa compactada, Munsell 10YR 3/2",relleno,
494,DHS,12 VI 14,0.5,53,0.345,18,L24,,,,,,,,,debajo de 456,"tierra arcillosa, Munsell 10YR 3/2",derrumbe y deslave,
327,LH,22 V 14,0.5,55,0.21,18,L20,,,,,,,,,debajo de 464,"tierra arcillosa, Munsell 10YR 3/2",deslave,
364,LH,27 V 14,0.5,55,0.065,18,L20,,,,,,,,,debajo de 393,"tierra arcillosa, Munsell 10YR 5/3",derrumbe,
472,DHS,11 VI 14,0.5,55,0.51,18,J24,,,,,,,,,debajo de 469 al E del muro,"tierra arcillosa, Munsell 10YR 3/2",nivel de ocupacion posclasico,
491,DHS,12 VI 14,0.5,55,0.79,18,L25,,,,,,,,,debajo de 458,"tierra arcillosa, Munsell 10YR 3/2","derrumbe y desalve, nivel de ocupacion posclasico",
541,GMB,19 VI 14,0.5,55,0.15,18,L23,,,,,,,,,debajo de 465,"tierra arcillosa con un poco de limo y ceniza, Munsell 10YR3/2",nivel de ocupacion posclasico,X
570,GMB,24 VI 14,0.5,55,1.1,18,I20,,,,,,,,,debajo de 455 y 466,"tierra arcillosa, Munsell 10YR 3/2 ",derrumbe y deslave,
633,AH,2 VII 14,0.5,56,0.32,18,K10,,,,,,,,,debajo de 461,"tierra arcillosa, Munsell 3/2",nivel de ocupacion posclasico,
661,GMB,7 VII 14,0.5,56,0.34,18,M9,,,,,,,,,debajo de 472,"tierra arcillosa y limosa, Munsell 10YR5/3",derrumbe y deslave,
486,DHS,12 VI 14,0.5,57,0.79,18,J25,,,,,,,,,debajo de 491,"tierra arcillosa con gravilla, Munsell 10YR 5/3",nivel de ocupacion posclasico,
632,AH,2 VII 14,0.5,57,0.32,18,L10,,,,,,24,,,debajo de 487,"tierra arcillosa, Munsell 10YR 5/3","vasija con pigmento rosa, nivel de ocupacion posclasico",
324,DHS,22 V 14,0.5,58,0.43,18,M20,,,,,,25,,,debajo de 495,"tierra arcillosa y arena, Munsell 10YR 5/3","Elemento 25, entierro",
325,DHS,22 V 14,0.5,58,0.24,18,M21,,,,,,,,,debajo de 494,"tierra arcillosa, Munsell 5/3",nivel de ocupacion posclasico,
318,DHS,20 V 14,0.5,59,1.4,18,N21,,,,,,,,,debajo de 490,"tierra arcillosa, Munsell 3/2",deslave,
322,DHS,21 V 14,0.5,60,0.44,18,N20,,,,,,,,,debajo de 492,"tierra arcillosa, Munsell 10YR3/2",deslave,
357,LH,27 V 14,0.5,60,0.0462,18,L21,,,,,,24,,,debajo de 497,"tierra arcillosa, Munsell 10YR 5/3","nucleo de obsidiana, hueso, frag de vasijas y candeleros",
367,LH,27 V 14,0.5,60,0.001,18,L20,,,,,,,,,debajo de 493,"tierra arcillosa, Munsell 10YR 3/2",derrumbe y deslave,
653,AH,4 VII 14,0.5,60,0.48,18,K9,,,,,,,,,debajo de 486,tierra arcillosa 5/3,derrumbe y deslave,
654,AH,4 VII 14,0.5,60,0.188,18,K9,,,,,,,,,debajo de 500,"tierra arcillosa, Munsell 5/3",deslave,
676,GMB,9 VII 14,0.5,60,0.414,18,J9,,,,,,,,,debajo de 499,"tierra arcillosa con ceniza, Munsell 5/2",deslave y derrumbe,
677,GMB,9 VII 14,0.5,60,0.325,18,N11,,,,,,,,,debajo de 497,"tierra arcillosa con ceniza, Munsell 10YR 4/3",deslave,
328,DHS,22 V 14,0.5,61,0.33,18,N22,,,,,,,,,debajo de 496,"tierra arcillosa, Munsell 10YR 4/3",derrumbe y deslave,
330,DHS,22 V 14,0.5,61,0.001,18,N22,,,,,,,,,debajo de 504,"tierra arcillosa, Munsell 10YR 5/3",derrumbe y deslave,
363,LH,27 V 14,0.5,61,0.534,18,"K21, partes de K22, L21, L22",,,,,,26,,,"debajo de 504, parejo con 509","ceramica y tierra arcillosa, Munsel 10YR 5/3",vasijas completas y semicompletas,X
476,DHS,12 VI 14,0.5,61,0.57,18,J23,,,,,,,,,"debajo de 495, parejo con 498","tierra arcillosa, Munsell 10YR 5/3",basurero,
652,AH,4 VII 14,0.5,61,0.57,18,L9,,,,,,,,,debajo de 480,"tierra arcillosa, Munsell 10YR 5/3",derrumbe y deslave,
413,DHS,2 VI 14,0.5,62,0.12,18,"M23-24, L23-24",,,,,,,,,debajo de 501 al este de muro,tierra arcillosa muy compactada (10YR 2/2),nivel de ocupación,
617,DHS,30 VI 14,0.5,63,0.08,18,K20s,,,,,,,,,debajo de 512,"tierra limosa y arcillosa, Munsell 10YR 5/3",derrumbe y deslave,
568,AH,23 VI 14,0.5,64,0.001,18,M26,,,,,,,,,superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
616,DHS,30 VI 14,0.5,64,0.312,18,J20,,,,,,,,,superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
636,AH,2 VII 14,0.5,65,0.17,18,L11,,,,,,,,,debajo de 503,"tierra arcillosa, Munsell 10YR 3/2",derrumbe y deslave,
682,AH,9 VII 14,0.5,65,0.6,18,L10,,,,,,,,,debajo de 402,"tierra arcillosa, Munsell 10YR 3/2",relleno constructivo bajo piso,
547,GMB,19 VI 14,0.5,66,0.03,18,K24,,,,,,,,,debajo de 484,"tierra arcillosa con algunas piedras, Munsell 10YR 5/3",derrumbe y deslave,
637,AH,2 VII 14,0.5,66,0.29,18,K11,,,,,,,,,debajo de 507,"tierra arcillosa con arena, Munsell 10YR 5/3",derrumbe y deslave,
421,DHS,2 VI 14,0.5,67,0.58,18,"M23-24, L23-24",,,,,,,,,debajo de 515,"tierra arcillosa, Munsell 2/2",nivel de ocupacion,
479,DHS,12 VI 14,0.5,67,0.55,18,J22,,,,,,,,,debajo de 516,"tierra arcillosa, Munsell 2/2",nivel de ocupacion,
550,GMB,19 VI 14,0.5,67,0.02,18,L24,,,,,,,,,debajo de 505,"tierra arcillosa con arena, Munsell 10YR 5/3",derrumbe y deslave,
423,LH,3 VI 14,0.5,69,0.264,18,J21,,,,,,,,,superficie,tierra orgánica arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
581,DHS,25 VI 14,0.5,69,0.714,18,I21,,,,,,,,,superficie,tierra orgánica arcillosa (Munsell 10YR 2/2 - very dark brown),zona de arado,Plough zone
585,DHS,25 VI 14,0.5,69,0.84,18,I22,,,,,,,,,debajo de 522,"tierra arcillosa y adobes, Munsell 10YR 2/2",nivel de ocupacion,
333,DHS,23 V 14,0.5,70,0.2,18,M20,,,,,,,,,debajo de 506,"tierra arcillosa con arena, Munsell 10YR 5/2",deslave,X
335,LH,23 V 14,0.5,70,0.12,18,L20,,,,,,,,,debajo de 524,tierra arcillosa (Munsell 10YR 2/2 - very dark brown) con piedras grandes,derrumbe y deslave,
368,LH,27 V 14,0.5,70,0.2968,18,"K21, partes de K22, L21, L22",,,,,,,,,debajo de 525,tierra arcillosa (Munsell 10YR 2/2),derrumbe y deslave,
405,DHS,31 V 14,0.5,70,0.21,18,N24,,,,,,,,,debajo de 521,"arena de rio, Munsell 10YR 3/2",nivel de ocupacion,
407,DHS,31 V 14,0.5,70,0.39,18,N24,,,,,,,,,"debajo de 352, al NW dentro de Piso 1; 1x1 area","piso gravilla con tierra compacta (Munsell 10 YR 5/4, yellowish brown)",piso uno y base de piso,
480,DHS,12 VI 14,0.5,70,0.264,18,N25,,,,,,,,,debajo de 531 al NW dentro de Piso 2; 1x1 M,"piso base gravilla con tierra compacta y bastante quemado (Munsell 10 YR 5/4, yellowish brown) con capa delgada de aplenado (Munsell 10 YR 2/1, almost black)",piso dos y base de piso muy compactado,
542,GMB,19 VI 14,0.5,70,0.4,18,L23,,,,,,,,,debajo de 522,"tierra arcillosa, Munsell 10YR 4/3",nivel de ocupacion,
569,AH,24 VI 14,0.5,70,0.61,18,N26,,,,,,,,,debajo de 530,"tietta arenosa, Munsell 10YR 3/2",relleno,
331,DHS,23 V 14,0.5,71,0.57,18,N20,,,,,,,,,debajo de 532 al NW; 1x1 M,"moldeada de piso base gravilla (10 YR 5/4, yellowish brown) con tierra arenoso (10 YR 6/4, dark brown.) En esquina NE, tierra limoso (10 YR 3/4)","relleno de constructión de piso 2, y piso 3",
332,DHS,23 V 14,0.5,71,0.36,18,M21,,,,,,,,,debajo de 526,"tierra arcillosa y tierra arenosa, Munsell 10YR 3/2",relleno,X
334,LH,23 V 14,0.5,71,0.18,18,L21,,,,,,,,,debajo de 528,tierra arcillosa (Munsell 10YR 2/2 - very dark brown) sobre piso 1 (piso de tierra compacta); piedras en la esquina suroeste,nivel de ocupación debajo de derrumbe y deslave,
340,DHS,25 V 14,0.5,71,0.003,18,M21,,,,,,,,,debajo de 529,tierra arcillosa (Munsell 10YR 2/2),derrumbe y deslave sobre un nivel de ocupación (Piso 1 de tierra compacta),
374,DHS,28 V 14,0.5,71,0.27,18,M21,,,,,,27,,,debajo de 536,"tierra suelta y arcillosa y arena de rio, Munsell 10YR 3/2","Elemento 27, entierro y vasijas",
495,DHS,12 VI 14,0.5,71,0.51,18,J24,,,,,,,,,debajo de piso 1 y base,"En oeste parte de unidad: piso base gravilla con tierra compacta (10 YR 5/4, yellowish brown.) En este parte tierra limoso (10YR 4/6, dark yellowish brown)",Piso 1 y base de piso muy compactado,
323,DHS,21 V 14,0.5,72,0.84,18,N21,,,,,,,,,debajo de 540 - piso 2 y base,"En oeste parte de unidad: piso baso gravilla con tierra compacta (10YR 5/4, yellowish brown.) En este parte: tierra limosa (Munsell 10YR 4/6, dark yellowish brown)",piso 2 y base de piso,X
490,DHS,12 VI 14,0.5,72,0.22,18,M24,,,,,,,,,debajo de 541,"modeada piso base gravilla (Munsell 10 YR 5/4, yellowish brown) con tierra arenoso (10YR 6/4, dark brown.) En esquina SE: tierra limosa (10 YR 3/4)","relleno de constructión de piso 2, y piso 3",X
559,DHS,21 VI 14,0.5,72,0.33,18,J23,,,,,,,,,debajo de 508,tierra arcillosa (Munsell 10YR 5/3 -  brown),nivel de ocupación; deslave sobre un piso de tierra compacta; incluye un muro,
659,GMB,7 VII 14,0.5,72,0.388,18,M9,,,,,,27,,,debajo de 539,"tierra suelta y arcillosa y arena de rio, Munsell 10YR 3/2","Elemento 27, vasijas bajo entierro",
386,DHS,29 V 14,0.5,73,0.03,18,N22,,,,,,,,,debajo de 401; piso 1 y base,piso base gravilla con tierra compactada (Munsell 3/3 dark brown),piso 1 y base de piso muy compactado,
420,LH,2 VI 14,0.5,73,0.1696,18,J21,,,,,,,,,debajo de 545; piso 1 y base,"moldeada piso base gravilla con tierra compactada (Munsell 10 YR 5/4, yellowish brown) y tierra limosa (Munsell 10 YR 3/3, dark brown) con capa delgada de aplenado (10YR 2/1, almost black)",piso 2 y base de piso,
504,DHS,14 VI 14,0.5,73,0.11,18,J25,,,,,,,,,debajo de 546,"tierra arrenoso (10 YR 4/4, dark yellowish brown)",relleno de construción de piso 2; piso 3,
662,GMB,7 VII 14,0.5,73,0.86,18,M11,,,,,,,,,debajo de 410; piso 1 y base de piso,"piso base gravilla con tierra compactada (Munsell 10 YR 3/3, dark brown)",piso 1 y base de piso muy compactado,
501,DHS,14 VI 14,0.5,74,0.056,18,K24,,,,,,,,,debajo de 548;  piso 1 y base,"piso base gravilla con tierra compactada bastante quemoda (Munsell 10 YR 5/6, yellowish brown) con capa delgada de aplenado (Munsell 10 YR 2/1, almost black)",piso 2 y base de piso,
535,GMB,18 VI 14,0.5,74,0.04,18,K23,,,,,,,,,debajo de 549,tierra arenoso (Munsell 10 YR 4/4 - dark yellowish brown),relleno de construción de piso 2; piso 3,
572,AH,24 VI 14,0.5,74,0.28,18,M26,,,,,,29,,,debajo de 543,tierra arcillosa (Munsell 10YR 5/3 - brown),elemento 29; nivel de ocupación; deslave sobre un piso de tierra compacta,
497,DHS,14 VI 14,0.5,75,0.001,18,M25,,,,,,,,,debajo de 479,"tierra arcillosa con piedras pequenas, Munsell 10YR 3/3",relleno constructivo bajo piso,
683,AH,9 VII 14,0.5,75,0.07,18,K9,,,,,,,,,debajo de 513,tierra arcillosa muy compactada (10YR 2/2),nivel de ocupación,
499,DHS,14 VI 14,0.5,76,0.09,18,L24,,,,,,28,,,dentro del piso 3 de la Est. 18 B. Debajo de 550,"tierra limosa (10YR 3/4, dark yellowish brown)",elemento 28; fosa en piso 3 con dos candeleros y uno aldisador,
502,DHS,14 VI 14,0.5,76,0.44,18,M25,,,,,,,,,debajo de 485,"tierra arcillosa, Munsell 10YR 3/4",derrume y deslave,
576,GMB,24 VI 14,0.5,76,0.59,18,I20,,,,,,,,,debajo de 517,tierra arcillosa (10YR 5/3 - brown),nivel de ocupación con un piso de tierra compacta y muros de piedra,
619,DHS,30 VI 14,0.5,77,0.243,18,J20,,,,,,28,,,debajo de 554 en elemento,tierra limosa (10 YR 4/3-brown),fosa en piso 3; sobre de piso 4 con uno candelero,
496,DHS,14 VI 14,0.5,78,0.25,18,L25,,,,,,,,,debajo de 510,tierra arcillosa (10YR 5/3 - brown),nivel de ocupación con un piso de tierra compacta (y un parte del piso de cemento),
513,DHS,16 VI 14,0.5,78,0.23,18,K24,,,,,,,,,debajo de 476,"tierra arcillosa con algunas piedras, Munsell 10YR 3/2",derrume y deslave,
573,DHS,24 VI 14,0.5,78,0.152,18,I23,,,,,,,,,superfice,"tierra orgánica (10 YR 2/2, very dark brown)","superfice, zona de arado",
574,DHS,24 VI 14,0.5,78,0.086,18,I23,,,,,,,,,debajo de 537,tierra arenosa (10 YR 4/3 - brown) sobre un nivel de gravilla,nivel de ocupación (Piso 2 de tierra compacta) con muros de adobe y relleno de tierra arenosa,
381,DHS,29 V 14,0.5,79,0.18,18,N23,,,,,,,,,debajo de 560,"tierra limosa (10YR 3/3, dark brown)",deslave,
373,DHS,28 V 14,0.5,80,0.01,18,N21,,,,,,,,,superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
666,AH,8 VII 14,0.5,80,0.33,18,K9/L9,,,,,,,,,debajo de 563,"tierra arcillosa, Munsell 10YR 2/2","deslave, muro de adobe",
684,AH,10 VII 14,0.5,80,0.8,18,L10,,,,,,,,,debajo de 562,"tierra limosa (10YR 3/3, dark brown)",nivel de ocupación,
685,AH,10 VII 14,0.5,80,0.04,18,K9,,,,,,,,,debajo de 564,"tierra arcillosa, Munsell 10YR 2/2",deslave,
372,LH,28 V 14,0.5,81,0.004,18,L21,,,,,,,,,debajo de 538,tierra arenosa (10YR 4/3 - brown) sobre un nivel de gravilla,derrumbe y deslave sobre un nivel de ocupación (Piso 2 de tierra compacta y gravilla) y arquitectura de adobe,
485,DHS,12 VI 14,0.5,81,0.26,18,J21,,,,,,30,,,debajo de 567,tierra arenosa (10YR 4/3 -brown) sobre un nivel de gravilla,Elemento 30; nivel de ocupación (Piso 2),
 ,DHS,16 VI 14,0.5,81,0.456,18,N25,,,,,,,,,debajo de 561,tierra arenosa (10YR 4/3 - brown),Deslave de tierra arenosa entre muros de adobe,
579,DHS,25 VI 14,0.5,81,0.09,18,J21,,,,,,,,,debajo de 565,"en el primero parte de unidad, tierra limosa (10YR 3/3, dark brown) y entonces un cambio en el sedimento a tierra arenosa",nivel de ocupación,
503,DHS,14 VI 14,0.5,82,0.32,18,K25,,,,,,,,,debajo de 566,"tierra arcillosa con arenao, Munsell 10YR 3/2",relleno,
506,DHS,14 VI 14,0.5,82,0.225,18,L24,,,,,,,,,debajo de 567,tierra arenosa (10YR 4/3 - brown),deslave o relleno debajo un piso; nivel tiene muros de adobe,
667,GMB,8 VII 14,0.5,83,0.108,18,M9,,,,,,,,,debajo de 571,"arena de rio, Munsell 10YR 5/3",relleno,X
329,DHS,22 V 14,0.5,84,0.02,18,N21,,,,,,,,,debajo de 571,"arena de rio y tierra arcillosa compactaca, Munsell 10YR 5/3",nivel de ocupación,
382,DHS,29 V 14,0.5,84,0.03,18,N23,,,,,,32,,,debajo de 574,deposito de tecos,"Elemento 32, deposito de tecos",
558,AH,21 VI 14,0.5,84,0.2,18,J25,,,,,,31,,,debajo de 570 al oeste de unidad,tierra arenosa (10YR 3/3 - dark brown),elemento; entierro flexionada al oeste de unidad,
575,DHS,24 VI 14,0.5,84,0.002,18,I23,,,,,,,,,debajo de 569,tierra arenosa (10YR 4/3 - brown),Deslave de tierra arenosa entre muros de adobe,
580,GMB,25 VI 14,0.5,84,0.3,18,I20,,,,,,,,,debajo de 572,tierra arenosa (10YR 4/3 - brown),deslave o relleno de tierra arenosa entre muros de adobe,
603,DHS,27 VI 14,0.5,84,0.874,18,I23,,,,,,,,,debajo de 423,"base de tepetate con arena, Munsell 10YR 3/4",relleno bajo piso,
641,AH,3 VII 14,0.5,84,0.27,18,K11,,,,,,,,,debajo de 570 y alrededor de 576,"tierra arenosa (10YR 3/3, dark brown)",relleno entre de los pisos con uno candelero,
642,AH,3 VII 14,0.5,84,0.19,18,L11,,,,,,,,,debajo de 534,"arena de rio, Munsell 10YR 3/4",relleno bajo piso,
518,DHS,16 VI 14,0.5,85,0.08,18,N24,,,,,,,,,debajo de 580,"tierra arenosa (10YR 3/3, dark brown)",relleno entre de los pisos,
509,DHS,14 VI 14,0.5,86,0.08,18,J25,,,,,,,,,debajo de 582,"tierra arenosa (10YR 3/3, dark brown) al oeste de unidad; tierra arenosa muy compacta (10 YR 5/2 - grayish brown) al este de unidad;",relleno; nivel sobre de piso,
671,AH,8 VII 14,0.5,86,0.28,18,K9,,,,,,,,,debajo de 479,"tierra con arena de rio, Munsell 10YR 3/4",relleno bajo piso,
507,DHS,14 VI 14,0.5,87,0.078,18,M25,,,,,,,,,debajo de 536,"arena de rio y fragmentos de piso quemado, Munsell 10YR 3/4",relleno bajo piso,
554,GMB,21 VI 14,0.5,87,0.14,18,K23-24; L23-24,,,,,,,,,debajo de 577,tierra arenosa (10YR 4/3 - brown) y tierra arenosa (10YR 5/3 - brown) en la esquina suroeste,nivel de ocupación (Piso 3 de tierra compacta) con muros de adobe y relleno de tierra arenosa,
604,DHS,27 VI 14,0.5,87,0.418,18,J23,,,,,,,,,debajo de 578,tierra arenosa (10YR 4/3 - brown) y tierra muy arenosa (10YR 5/3 - brown) en sur y este (cerca de la arquitectura de piedra),nivel de ocupación (Piso 3) con tierra arenosa y tierra muy arenosa cerca de la arquitectura de piedra,
433,DHS/LH,5 VI 14,0.5,90,0.79,18,"M23-24, L23-24",,,,,,,,,debajo de 583,"debajo de 5 cm, un piso de modeada de coscajo - gravilla compacta (2.5 YR 2.5/4, dark reddish brown) y tierra limosa (10 YR 3/3, dark brown) y arsenosa compacta (10 YR 5/2, grayish brown). Debajo de piso es un base de piso - tierra arenosa (10YR 4/3, brown)",nivel de ocupación y apisonado igual con apisonado debajo de piso 4 en I22,
483,DHS,12 VI 14,0.5,90,0.143,18,N24,,,,,,,,,debajo de 587,tierra arenosa (10YR 4/3 - brown) y tierra muy arenosa (10YR 5/3 - brown) en sur y este (cerca de la arquitectura de piedra),relleno debajo piso 3 y entre arquitectura de piedra,
498,DHS,14 VI 14,0.5,90,0.001,18,J24,,,,,,,,,debajo de 585,"tierra arcillos del adobe y arena, Munsell 10YR 5/3",muro de adobe,
511,DHS,16 VI 14,0.5,90,0.489,18,J24,,,,,,,,,debajo de 579,"arena, tepetate molido y apisonado, Munsell 10YR 3/4","relleno y apisonado, piso 4",
590,DHS,26 VI 14,0.5,90,0.068,18,I22,,,,,,,,,debajo de 581,"arena, tepetate molido y piso, Munsell 10YR 3/4",relleno y apisonado,
592,DHS,26 VI 14,0.5,90,0.54,18,I21,,,,,,33,,,debajo de 592,"arena, Munsell 10YR 3/4","Elemento 23: caparazon de tortuga lado ventral, piedra tallada y vasija quemada",
599,DHS,27 VI 14,0.5,90,0.64,18,I22,,,,,,,,,debajo de 589,"1. tierra arenosa (10YR 4/3 - brown); 2. tierra arcillosa (10YR 3/2 - very dark, grayish brown); 3. ceniza (10YR 7/2 - light gray); 4. tierra arenosa pero un poco arcillosa (10YR 7/4 - very pale brown); 5. tierra arcillosa (10YR 5/3 - brown); 6. carbón",nivel de ocupación; posible un folcon?,X
668,GMB,8 VII 14,0.5,90,0.316,18,M9,,,,,,,,,debajo de 589,tierra arenosa (10YR 5/3 - brown) con un poco cerca del folcon (10YR 8/5 - yellowish brown) y tierra arenosa (10YR 4/3 - brown) en la esquina noroeste,relleno de tierras arenosas sobre un nivel de ocupación con Piso 4 de cemento,
500,DHS,14 VI 14,0.5,91,0.13,18,M24,,,,,,,,,debajo de 584,"arena, tepetate molido y fragmentos de piso, Munsell 10YR 3/4",relleno y apisonado,
669,AH,8 VII 14,0.5,91,0.33,18,L9,,,,,,,,,debajo de 585,"arena y tierra limosa, Munsell 10YR 3/2",relleno y apisonado,
552,DHS,19 VI 14,0.5,92,0.06,18,J22,,,,,,34,,,debajo de 595,tierra arenosa (10YR 5/3  - brown),Elemento 34; nivel de ocupación;un ocrte en Piso 4 con tierra arenosa y artefactos (vecino al folcon),
578,AH,25 VI 14,0.5,92,0.52,18,M26,,,,,,,,,debajo de 595,tierra arenosa (10YR 4/3 - brown) y un poco tierra arenosa (10YR 7/6 - yellow),nivel de ocupación; un corte en Piso 4 en la esquina noreste,
