"","ID","YEAR","Volume","Lote","Operacion","Unidad","EL.","Investigator","Fecha","Class","Category","Genus","Species","Name","CF","R_El","R_info","Side","Completeness..0.frag..1.complete.","R_portion","Fragmentation","NISP","MNE","Estimate.AGE","Fusion.wear","Proximal","Shaft","Distal","Taphonomy","Photographed","Bird.to.confirm.ID","Additional.analysis","Quality.of.heat.fire.exposure","X..Charred","X..Heat.exposed","Carnivore","Rodent","Worked","Butchery","Weathering","Other","Calcined","Measurements","Location.of.measurement","Portion","Comments","R_El.R_info.Portion.Comments","New_El"
"54",54,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","Ph3","","L","1","7- whole and unbroken",NA,1,NA,NA,"",NA,NA,NA,"","","","Length; Prox (wxh); Distal (wxh)",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Note sure # or if fore or hind limb","Ph3///Note sure # or if fore or hind limb","Phalanx3"
"55",55,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","General","","","mammal","#N/A","other","Sesamoid","","1","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Maybe human?","other/Sesamoid//Maybe human?","Other"
"56",56,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","General","small","","small mammal","#N/A","patella","","","0.9","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Smaller than dog, larger than rabbit, more robust also. ","patella///Smaller than dog, larger than rabbit, more robust also. ","Patella"
"57",57,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Artiodactyla","Odocoileus","virginianus","White-tailed deer","#N/A","Tth Low","M1","R","1","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","Tth Low/M1//","Tth Low"
"58",58,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Artiodactyla","Artiodactyla","","Artiodactyl","#N/A","Tth Low","I","","0.8","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","of a size with 1, likely from same invididual","Tth Low/I//of a size with 1, likely from same invididual","Tth Low"
"59",59,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Artiodactyla","Artiodactyla","","Artiodactyl","#N/A","Tth ND","","","0","8- pieces grouped together ",NA,2,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","fragment","","Tth ND//fragment/","Tth ND"
"60",60,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Leporidae","Sylvilagus","floridanus","Eastern cottontail","#N/A","scapula","","L","0.3","3-Proximal and shaft",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","proximal","","scapula//proximal/","Scapula"
"61",61,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Rodentia","Cratogeomys","fumosus thylorhinus","Smokey pocket gopher","#N/A","scapula","","R","0.2","3-Proximal and shaft",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","proximal","","scapula//proximal/","Scapula"
"62",62,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Leporidae","Lepus","sp.","Hare","#N/A","ulna","","R","0.2","1-Proximal epiphysis",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","olecranon","","ulna//olecranon/","Ulna"
"63",63,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Bird","General","","","Bird","#N/A","cranial","Frontal","L","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","post orbital process","","cranial/Frontal/post orbital process/","Cranium"
"64",64,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","General","","","mammal","#N/A","Vert ND","","","0.3","",NA,1,NA,NA,"No",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","very young, not fused. Similar to side of cerevical in a small dog but angle is different","Vert ND///very young, not fused. Similar to side of cerevical in a small dog but angle is different","Vert ND"
"65",65,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","Mand/Tth","","L","0.5","Anterior",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","anterior","all sockets present, with PM3 and 4, M1 and 2 present. ","Mand/Tth//anterior/all sockets present, with PM3 and 4, M1 and 2 present. ","Humerus"
"66",66,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","tooth","","","0","8- pieces grouped together ",NA,2,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","fragment","","tooth//fragment/","Tth ND"
"67",67,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Leporidae","Lepus","sp.","Hare","#N/A","rib","9","L","0.4","3-Proximal and shaft",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","dorsal","","rib/9/dorsal/","Ribs"
