ID,YEAR,Volume,Lote,Operacion,Unidad,EL.,Investigator,Fecha,Class,Category,Genus,Species,Name,CF,R_El,R_info,Side,"Completeness (0=frag, 1=complete)",R_portion,Fragmentation,NISP,MNE,Estimate AGE,Fusion/wear,Proximal,Shaft,Distal,Taphonomy,Photographed,Bird to confirm ID,Additional analysis,Quality of heat/fire exposure,# Charred,# Heat exposed,Carnivore,Rodent,Worked,Butchery,Weathering,Other,Calcined,Measurements,Location of measurement,Portion,Comments,R_El/R_info/Portion/Comments
63,2016,0.41,86,17,J7,,MRD,19_VII_13,Bird,General,,,Bird,#N/A,cranial,Frontal,L,0,,,1,,,,,,,,,,,,,,,,,,,,,,,post orbital process,,cranial/Frontal/post orbital process/
64,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,,,mammal,#N/A,Vert ND,,,0.3,,,1,,,No,,,,,,,,,,,,,,,,,,,,,"very young, not fused. Similar to side of cerevical in a small dog but angle is different","Vert ND///very young, not fused. Similar to side of cerevical in a small dog but angle is different"
65,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,Mand/Tth,,L,0.5,Anterior,,1,,,,,,,,,,,,,,,,,,,,,,,anterior,"all sockets present, with PM3 and 4, M1 and 2 present. ","Mand/Tth//anterior/all sockets present, with PM3 and 4, M1 and 2 present. "
66,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,tooth,,,0,8- pieces grouped together ,,2,,,,,,,,,,,,,,,,,,,,,,,fragment,,tooth//fragment/
67,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,rib,9,L,0.4,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,dorsal,,rib/9/dorsal/
68,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,medium,,medium mammal,#N/A,rib,,,0,4-Distal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,costal,most closely resembles the costal portions of lower ribs of a young dog.,rib//costal/most closely resembles the costal portions of lower ribs of a young dog.
69,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,medium,,medium mammal,#N/A,rib,,,0,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft,,rib//shaft/
70,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,,,mammal,#N/A,Tool,,,0,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft fragment,,Tool//shaft fragment/
71,2016,0.41,86,17,J7,,MRD,19_VII_13,Fish,Fish,,,ND fish,#N/A,Vert ND,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Vert ND///
72,2016,0.41,86,17,J7,,MRD,19_VII_13,Bird,General,,,Bird,#N/A,rib,,,0,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft fragment,,rib//shaft fragment/
73,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,large,,large mammal,#N/A,shaft,Worked bone,,0,,,1,,,,,,,worked bone,,,,,,,,,1,,,,,,,,fragment of longbone shaft with a sawn groove on on edge.,shaft/Worked bone//fragment of longbone shaft with a sawn groove on on edge.
74,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,large,,large mammal,#N/A,shaft,Worked bone,,0,,,1,,,,,,,tool,,,,,,,,,1,,,,,,,,two refitting fragment of shaft abraded into a wide blunt point at one side. ,shaft/Worked bone//two refitting fragment of shaft abraded into a wide blunt point at one side. 
75,2016,0.41,86,17,J7,,MRD,19_VII_13,Bird,General,large,,large bird,#N/A,shaft,,,0,sliver,,4,,,,,,,,,,,,,,,,,,,,,,,shaft fragment,,shaft//shaft fragment/
76,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,15,,,,,,,,,,,,,,,,,,,,,,,fragments,,unknown//fragments/
77,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,General,medium,,medium mammal,#N/A,Vert ND,,,0,,,1,,,N,,,,,,,,,,,,,,,,,,,,frament,looks like cervical of dog but doesnt uite fit. ,Vert ND//frament/looks like cervical of dog but doesnt uite fit. 
78,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Cervical,,,0.4,,,1,1,,N,,,,,,,,,,,,,,,,,,,,right side,,Cervical//right side/
79,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,4,,,,,,,,,,,,,,,,,,,,,,,,,///
80,2016,0.205,94,17,K9/J9,,AGMR,20_VII_13,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,femur,,R,0.2,4-Distal and shaft,,1,,,Fused,,,,charred,,,,,1,,,,,,,,,,,4-Distal and shaft,both condyles complete,femur//4-Distal and shaft/both condyles complete
81,2016,0.205,94,17,K9/J9,,AGMR,20_VII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,5,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
82,2016,0.205,94,17,K9/J9,,AGMR,20_VII_13,Mammal,Human,,,Human,#N/A,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,///
83,2016,0.07,10,17,K21,EL 1,,,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,Ph1,Posterior,,1,7- whole and unbroken,,1,,,,,,,,,,,,,,,,,,,,,,,,Elemento 1. nd in context with human,Ph1/Posterior//Elemento 1. nd in context with human
84,2016,0.596,75,17,J17,,,,Fish,Marine fish,Lutjanus ,sp.,Snapper,#N/A,spine,Dorsal spine,,0.5,,,1,,,,,,,charred,181-2,,,,1,,,,,,,,,,,distal,"""Bone pulled from Pizarra"" Dorsal spine of large marine fish Huachinango. Burnt. Looks like spine of slate pencil urchin.","spine/Dorsal spine/distal/""Bone pulled from Pizarra"" Dorsal spine of large marine fish Huachinango. Burnt. Looks like spine of slate pencil urchin."
85,2016,0.596,75,17,J17,,,,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
86,2016,0.568,76,17,I17,,,,Unknown,NID,,,NID,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,Flaky and not porous. Could be small frag of fish?,unknown///Flaky and not porous. Could be small frag of fish?
87,2016,0.001,568,18,M26,EL 30,,,Mammal,General,large,,large mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,Elemento 30,unknown///Elemento 30
88,2016,0.09,181,17,K21,EL 12,,,Bird,Anseriformes,Anatidae,,Waterfowl,#N/A,femur,,L,0.7,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft,"El 12, found with Entierra 8; dimensions fit mallard.","femur//shaft/El 12, found with Entierra 8; dimensions fit mallard."
89,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Atlas,,L,0.3,,,1,0,,No,,,,,,,,,,,,,,,,,,,,transverse process and left articular surfaces. ,"Is articulated, 0-3 months","Atlas//transverse process and left articular surfaces. /Is articulated, 0-3 months"
90,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Atlas,,R,0.3,,,1,0,,No,,,,,,,,,,,,,,,,,,,,transverse process and right articular surfaces. ,"Is articulated, 0-3 months","Atlas//transverse process and right articular surfaces. /Is articulated, 0-3 months"
91,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Temporal,L,0.1,,,1,,,?,,,,,,,,,,,,,,,,,,,,Internal auditory meatus,,cranial/Temporal/Internal auditory meatus/
92,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Occipital,L,0.1,,,1,,,No,,,,,,,,,,,,,,,,,,,,Condyle,,cranial/Occipital/Condyle/
93,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Occipital,R,0.1,,,1,,,No,,,,,,,,,,,,,,,,,,,,Condyle,,cranial/Occipital/Condyle/
94,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Occipital,,0.9,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,cranial/Occipital//
95,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Parietal,,0.4,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,cranial/Parietal//
96,2016,0.4598,186,17,I19,,MRD,1_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Cranium/Tth,Maxilla,L,0.4,,,1,,,No,,,,,,,,,,,,,,,,,,,,"sockets and dentition of dm 1, 2 and 3","young, 0-3 months","Cranium/Tth/Maxilla/sockets and dentition of dm 1, 2 and 3/young, 0-3 months"
